zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
20851686,51,moderate,moderate,moderate,moderate,"The property is in a desirable location with unique architectural features and income potential, likely leading to a moderate selling time of 2 to 128 days.","The property has unique architectural features and a desirable location, but the presence of specific slow-selling words suggests it may not have generated immediate interest, leading to a moderate selling time.","The property features numerous upgrades and a desirable location, but the presence of a due date for offers suggests a more measured selling process, likely leading to moderate sales speed."
20491114,28,moderate,moderate,moderate,moderate,"The property is located in a desirable area and has appealing features, which likely contributed to a moderate selling time of 2 to 128 days.","The property is located in a desirable neighborhood and has appealing features, but lacks specific fast-selling keywords. This suggests a moderate selling time, likely between 2 to 128 days.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout and outdoor living space, suggesting a moderate selling time."
31523142,101,moderate,moderate,moderate,fast,"The property is well-renovated and located in New York, which typically attracts buyers. However, the age and size may lead to a moderate selling time, likely between 55 to 280 days.","The property is a fully renovated condo with appealing features like river views and privacy, but lacks fast-selling keywords. This suggests a moderate selling time.","The property features fully renovated interiors and offers amazing river views, which are highly desirable in New York. The absence of slow-selling keywords suggests a quick sale."
320255600,79,moderate,fast,fast,fast,"The property is located in a desirable area with modern features and tax abatement, likely attracting buyers quickly. The combination of amenities and location suggests a fast sale.","The property is in a highly desirable area with modern features and tax abatement, which typically attracts buyers quickly. The description emphasizes convenience and style, suggesting a fast sale.","The property features modern amenities, a desirable location, and a tax abatement, which are attractive to buyers. The description emphasizes convenience and style, likely leading to a quick sale."
89143226,53,moderate,moderate,moderate,moderate,"The property is located in a desirable area with luxury features, which typically attracts buyers. However, the size and price may lead to a moderate selling time, likely between 4 to 153 days.","The property is well-located in a desirable neighborhood with luxury features, but lacks specific fast-selling keywords. This suggests a moderate selling time, likely between 4 to 153 days.","The property features luxury amenities and is located in a desirable neighborhood, which typically attracts buyers. However, the specific attributes and market conditions suggest a moderate selling time."
2054483780,0,fast,fast,fast,fast,"The property is a brand new condo in a trendy Brooklyn neighborhood with extensive amenities, likely attracting buyers quickly. Its modern features and prime location suggest a fast sale.","The property features high-end finishes, modern amenities, and is located in a trendy neighborhood, which typically attracts buyers quickly. The description emphasizes luxury and convenience.","The property features high-end amenities and luxury brands like Miele and Peloton, which are associated with fast sales. Its prime location and modern design also contribute to its appeal."
30744217,66,moderate,moderate,moderate,moderate,"The property is well-maintained with multiple renovations and is located in a desirable area, which typically leads to a moderate selling time. It likely attracted interest but took longer than 55 days.","The property has desirable features and recent renovations, but lacks fast-selling keywords. Its size and location suggest a moderate selling time, likely between 55 to 280 days.","The property features multiple renovations and is located in a desirable neighborhood, which typically attracts buyers. However, it lacks fast-selling keywords, indicating a moderate selling time."
20120440,41,moderate,moderate,moderate,moderate,"The property has unique features and potential for subdivision, which may attract interest but could also require time for buyers to evaluate options, leading to a moderate selling timeframe.","The property has unique features like a subdividable lot and is well-maintained, which may attract buyers, but the age and specific location suggest a moderate selling time.","The property has appealing features like a subdividable lot and is well-maintained, but lacks fast-selling keywords. It likely sold in a moderate timeframe due to its unique potential."
122659455,135,moderate,fast,fast,fast,"The property is likely to sell fast due to its appealing features like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, attracting many buyers.","The property features desirable attributes like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which typically attract buyers quickly.","The property features a sunny studio alcove with desirable amenities and a prime location near parks and transportation, which typically attracts buyers quickly."
19965784,7,moderate,moderate,fast,fast,"The property is located in a desirable area with many appealing features, which likely contributed to a moderate selling time of 2 to 128 days, reflecting a balanced market response.","The property is located in a highly desirable area with numerous attractive features, including a remodeled kitchen and prime location near parks and entertainment, suggesting a quick sale.","The property features desirable upgrades, a prime location near amenities, and a unique floor plan, which are all appealing to buyers, likely leading to a quick sale."
